Re(Z)/Ohm	-Im(Z)/Ohm	freq/Hz	|Z|/Ohm	Phase(Z)/deg	
6.2495003E+000	7.7610356E-001	1.0000186E+006	6.2975068E+000	-7.0791183E+000
6.5119290E+000	1.0391394E+000	6.8129269E+005	6.5943179E+000	-9.0665178E+000
6.7984934E+000	1.3229096E+000	4.6415716E+005	6.9260092E+000	-1.1011501E+001
7.1580687E+000	1.6347102E+000	3.1622997E+005	7.3423581E+000	-1.2864202E+001
7.6244183E+000	1.9434606E+000	2.1544686E+005	7.8682141E+000	-1.4300146E+001
8.1776953E+000	2.2059124E+000	1.4677664E+005	8.4699907E+000	-1.5096087E+001
8.7640371E+000	2.4080369E+000	1.0000371E+005	9.0888386E+000	-1.5363650E+001
9.3296700E+000	2.5953574E+000	6.8132047E+004	9.6839361E+000	-1.5545674E+001
9.8619461E+000	2.8443458E+000	4.6420352E+004	1.0263931E+001	-1.6088421E+001
1.0396043E+001	3.2240586E+000	3.1621143E+004	1.0884497E+001	-1.7229898E+001
1.0987536E+001	3.7859099E+000	2.1544688E+004	1.1621491E+001	-1.9012110E+001
1.1698853E+001	4.5727797E+000	1.4678590E+004	1.2560792E+001	-2.1349245E+001
1.2611043E+001	5.6102557E+000	1.0002226E+004	1.3802658E+001	-2.3982775E+001
1.3820675E+001	6.9002395E+000	6.8110674E+003	1.5447471E+001	-2.6531551E+001
1.5408582E+001	8.4052029E+000	4.6414883E+003	1.7551975E+001	-2.8611956E+001
1.7425768E+001	1.0069705E+001	3.1630398E+003	2.0126011E+001	-3.0022024E+001
1.9925613E+001	1.1846670E+001	2.1543130E+003	2.3181322E+001	-3.0733379E+001
2.3043106E+001	1.3584848E+001	1.4676526E+003	2.6749445E+001	-3.0521080E+001
2.6892969E+001	1.5060430E+001	9.9968164E+002	3.0822855E+001	-2.9249420E+001
3.1288292E+001	1.5327281E+001	6.8108960E+002	3.4840820E+001	-2.6098974E+001
3.5678661E+001	1.4832974E+001	4.6425687E+002	3.8639153E+001	-2.2574511E+001
3.9193630E+001	1.3022375E+001	3.1631589E+002	4.1300400E+001	-1.8379450E+001
4.1763294E+001	1.0961201E+001	2.1548271E+002	4.3177780E+001	-1.4706167E+001
4.4344803E+001	9.4782619E+000	1.4673770E+002	4.5346432E+001	-1.2064864E+001
4.5792381E+001	7.7757602E+000	9.9968163E+001	4.6447868E+001	-9.6371679E+000
4.6849808E+001	6.3868651E+000	6.8146439E+001	4.7283154E+001	-7.7630711E+000
4.7647251E+001	5.3071413E+000	4.6410858E+001	4.7941906E+001	-6.3556356E+000
4.8285053E+001	4.4936733E+000	3.1629578E+001	4.8493706E+001	-5.3169460E+000
4.8833096E+001	3.9321382E+000	2.1551699E+001	4.8991150E+001	-4.6036382E+000
4.9337540E+001	3.5046473E+000	1.4675930E+001	4.9461857E+001	-4.0631289E+000
4.9818672E+001	3.2051337E+000	9.9968166E+000	4.9921669E+001	-3.6811073E+000
5.0256382E+001	2.9978495E+000	6.8112464E+000	5.0345715E+001	-3.4137123E+000
5.0697529E+001	2.8433418E+000	4.6420097E+000	5.0777199E+001	-3.2100382E+000
5.1096592E+001	2.7557809E+000	3.1629577E+000	5.1170853E+001	-3.0871294E+000
5.1476620E+001	2.6808708E+000	2.1533892E+000	5.1546383E+001	-2.9812357E+000
5.1746578E+001	2.6358647E+000	1.4679656E+000	5.1813667E+001	-2.9160094E+000
5.1981480E+001	2.6522534E+000	1.0000616E+000	5.2049099E+001	-2.9208722E+000
5.2128765E+001	2.6620781E+000	6.8162978E-001	5.2196693E+001	-2.9234045E+000
5.2092709E+001	2.7929270E+000	4.6424195E-001	5.2167526E+001	-3.0689490E+000
5.2033962E+001	2.9299612E+000	3.1619295E-001	5.2116386E+001	-3.2228436E+000
5.1861694E+001	3.2169545E+000	2.1552294E-001	5.1961372E+001	-3.5494802E+000
5.1617184E+001	3.4853148E+000	1.4675483E-001	5.1734718E+001	-3.8628836E+000
5.1244541E+001	3.7934740E+000	9.9951774E-002	5.1384758E+001	-4.2337060E+000
